HFPO-DA(GEN X);PFBA;PFBS;PFDA;PFHpA;PFHxA;PFHxS;PFNA;PFOA;PFOS;Sum PFAS-4
0.00293;0.302309724;0.15;0.006531717;0.035955669;0.72;0.035;0.04235026;0.26;0.82;0.00961
0.002211492;0.22;0.15;0.004;0.032;0.5;0.017;0.01965;0.24;0.58;0.0117
0.0017;0.13;0.13;0.004;0.0297;0.43;0.017;0.007151481;0.23;0.43;0.05371
0.00162;0.12;0.12;0.00322;0.02824;0.42;0.01599;0.0058;0.23;0.28;0.02657
0.00105;0.12;0.12;0.00181;0.023;0.39;0.015;0.00339;0.21;0.21;0.01801
0.00093;0.1;0.099;0.0015;0.021;0.39;0.014;0.0025;0.21;0.2;0.02664
0.00092;0.1;0.099;0.0015;0.017;0.33;0.01345;0.00173;0.21;0.16;0.09065
0.0004;0.082;0.097;0.00131;0.017;0.33;0.013;0.00159;0.200586186;0.14;0.01603
0.0004;0.079;0.097;0.001244261;0.017;0.32;0.013;0.00146;0.2;0.14;0.01993
0.0004;0.063;0.085;0.00113;0.016;0.31;0.013;0.00128;0.2;0.139;0.14396
0.0004;0.0617;0.084;0.001;0.015;0.29;0.012;0.00097;0.19;0.13;0.00741
0.0004;0.05604;0.08;0.00095;0.015;0.28;0.012;0.00075;0.17;0.13;0.05279
0.0004;0.051;0.078;0.00069;0.015;0.27;0.012;0.00075;0.17;0.12;0.032402953
0.0004;0.049;0.07591;0.00063;0.015;0.25;0.012;0.00075;0.15;0.12;0.01141
0.00022;0.049;0.075;0.00047;0.015;0.25;0.012;0.00075;0.13;0.102;0.00732
0.000085;0.04442;0.07;0.00044;0.015;0.24;0.011;0.00075;0.13;0.1;0.05321
0.000085;0.044;0.068;0.00032;0.014;0.24;0.01;0.00075;0.096;0.095;0.01055
0.000085;0.043;0.066;0.00032;0.014;0.24;0.01;0.00075;0.086;0.0798;0.00272
0.000085;0.042;0.066;0.000135;0.014;0.24;0.01;0.00075;0.07504;0.075;0.0281
0.000085;0.042;0.063;0.000135;0.013;0.24;0.01;0.00075;0.071;0.072;0.014
0.000085;0.04;0.058;0.000135;0.01271;0.23;0.01;0.00075;0.059;0.07;0.00225
0.000085;0.04;0.058;0.000135;0.01215;0.23;0.01;0.00041;0.057;0.068;0.28047261
0.000085;0.039;0.057;0.000135;0.012;0.23;0.01;0.00041;0.053;0.068;
;0.037;0.057;;0.011;0.22;0.009;;0.051;0.065;
;0.034;0.056;;0.011;0.22;0.009;;0.046;0.064;
;0.032;0.055;;0.01;0.22;0.009;;0.043;0.0612;
;0.032;0.054;;0.01;0.21;0.009;;0.04;0.06;
;0.031;0.054;;0.0095;0.21;0.009;;0.039;0.06;
;0.031;0.054;;0.009;0.21;0.009;;0.038;0.055;
;0.031;0.052;;0.009;0.21;0.009;;0.0348;0.052;
;0.031;0.05;;0.009;0.17;0.009;;0.033;0.051;
;0.03;0.049;;0.009;0.17;0.008;;0.031;0.05;
;0.029;0.049;;0.008;0.16;0.008;;0.029;0.049;
;0.029;0.048;;0.008;0.16;0.008;;0.02535;0.04738;
;0.029;0.048;;0.008;0.16;0.008;;0.025;0.043;
;0.028;0.048;;0.008;0.16;0.008;;0.025;0.042;
;0.026;0.047;;0.008;0.15;0.008;;0.025;0.042;
;0.025;0.047;;0.008;0.15;0.008;;0.024;0.042;
;0.025;0.044;;0.008;0.096;0.008;;0.022;0.042;
;0.02425;0.044;;0.00799;0.09519;0.00713;;0.021;0.04;
;0.023;0.044;;0.00755;0.077;0.007;;0.021;0.0393;
;0.023;0.042;;0.00721;0.058412448;0.007;;0.021;0.039;
;0.023;0.041;;0.007;0.056;0.007;;0.021;0.039;
;0.023;0.039;;0.007;0.056;0.007;;0.019;0.038;
;0.023;0.038;;0.007;0.044;0.007;;0.019;0.038;
;0.023;0.038;;0.007;0.044;0.007;;0.019;0.038;
;0.022;0.038;;0.007;0.042;0.007;;0.019;0.036986164;
;0.022;0.036057026;;0.007;0.041;0.007;;0.018;0.036;
;0.022;0.03536;;0.007;0.04;0.007;;0.018;0.036;
;0.02182;0.03457;;0.007;0.04;0.007;;0.017;0.036;
;0.021;0.033;;0.007;0.038;0.007;;0.017;0.035;
;0.02078;0.033;;0.007;0.038;0.007;;0.017;0.034;
;0.02;0.032;;0.007;0.0376;0.007;;0.016;0.034;
;0.02;0.03116;;0.007;0.036;0.007;;0.016;0.034;
;0.02;0.031;;0.007;0.035;0.007;;0.016;0.033;
;0.01911;0.031;;0.006;0.035;0.007;;0.016;0.032;
;0.019;0.03;;0.006;0.034;0.007;;0.015;0.032;
;0.019;0.03;;0.006;0.034;0.007;;0.015;0.032;
;0.019;0.025;;0.006;0.033;0.007;;0.015;0.03013;
;0.019;0.022;;0.006;0.033;0.006;;0.014;0.03;
;0.019;0.022;;0.006;0.032;0.006;;0.014;0.03;
;0.018;0.02112;;0.006;0.032;0.006;;0.014;0.028;
;0.018;0.02;;0.006;0.03109;0.006;;0.014;0.028;
;0.018;0.019;;0.006;0.031;0.006;;0.014;0.027;
;0.018;0.019;;0.00521;0.03;0.006;;0.014;0.027;
;0.017;0.019;;0.005;0.02986;0.006;;0.014;0.0255;
;0.017;0.019;;0.005;0.029;0.006;;0.014;0.024;
;0.016;0.018;;0.005;0.029;0.006;;0.014;0.0232;
;0.016;0.018;;0.005;0.028;0.006;;0.014;0.023;
;0.016;0.018;;0.005;0.028;0.006;;0.014;0.023;
;0.016;0.0174;;0.005;0.02638;0.006;;0.014;0.02238;
;0.016;0.017;;0.005;0.026;0.006;;0.014;0.022;
;0.016;0.017;;0.005;0.026;0.006;;0.014;0.022;
;0.016;0.017;;0.005;0.025;0.006;;0.014;0.022;
;0.01551;0.017;;0.005;0.025;0.006;;0.014;0.022;
;0.015;0.016;;0.005;0.024;0.006;;0.0132;0.0219;
;0.015;0.016;;0.005;0.024;0.006;;0.013;0.0217;
;0.015;0.015;;0.005;0.024;0.006;;0.013;0.021;
;0.015;0.015;;0.005;0.024;0.006;;0.013;0.021;
;0.015;0.015;;0.005;0.024;0.006;;0.013;0.02;
;0.015;0.015;;0.005;0.023;0.00523;;0.013;0.02;
;0.014;0.015;;0.005;0.023;0.005;;0.013;0.02;
;0.014;0.015;;0.005;0.023;0.005;;0.013;0.02;
;0.014;0.015;;0.005;0.023;0.005;;0.013;0.019;
;0.014;0.015;;0.005;0.023;0.005;;0.013;0.019;
;0.014;0.015;;0.005;0.022;0.005;;0.013;0.018;
;0.014;0.0143;;0.005;0.022;0.005;;0.013;0.018;
;0.014;0.01411;;0.005;0.022;0.005;;0.013;0.018;
;0.014;0.014;;0.0044;0.021;0.005;;0.013;0.018;
;0.0135;0.014;;0.00435;0.021;0.005;;0.012;0.017989252;
;0.013;0.014;;0.00431;0.0201;0.005;;0.012;0.0175;
;0.013;0.014;;0.00415;0.02001;0.005;;0.012;0.0175;
;0.013;0.014;;0.00401;0.02;0.005;;0.012;0.017;
;0.013;0.014;;0.004;0.02;0.005;;0.012;0.017;
;0.013;0.014;;0.004;0.02;0.005;;0.012;0.0169;
;0.013;0.014;;0.004;0.02;0.005;;0.012;0.0166;
;0.013;0.013;;0.004;0.02;0.005;;0.012;0.0162;
;0.013;0.013;;0.004;0.02;0.005;;0.012;0.016;
;0.013;0.013;;0.004;0.019;0.005;;0.012;0.016;
;0.013;0.013;;0.004;0.019;0.005;;0.012;0.0159;
;0.013;0.013;;0.004;0.019;0.005;;0.012;0.015;
;0.013;0.013;;0.004;0.019;0.005;;0.012;0.015;
;0.013;0.013;;0.004;0.018;0.00469;;0.012;0.015;
;0.013;0.013;;0.004;0.018;0.00426;;0.012;0.015;
;0.013;0.013;;0.004;0.018;0.004;;0.012;0.015;
;0.013;0.013;;0.004;0.018;0.004;;0.012;0.015;
;0.013;0.013;;0.004;0.018;0.004;;0.012;0.015;
;0.013;0.013;;0.004;0.018;0.004;;0.012;0.015;
;0.012;0.013;;0.004;0.018;0.004;;0.012;0.015;
;0.012;0.013;;0.004;0.017;0.004;;0.012;0.015;
;0.012;0.013;;0.004;0.017;0.004;;0.012;0.015;
;0.012;0.013;;0.004;0.017;0.004;;0.011;0.0149;
;0.012;0.012;;0.004;0.017;0.004;;0.011;0.0145;
;0.012;0.012;;0.004;0.017;0.004;;0.011;0.014;
;0.012;0.012;;0.004;0.017;0.004;;0.011;0.014;
;0.012;0.012;;0.004;0.017;0.004;;0.011;0.014;
;0.012;0.012;;0.004;0.017;0.004;;0.011;0.014;
;0.012;0.012;;0.004;0.017;0.004;;0.011;0.014;
;0.012;0.012;;0.004;0.016;0.004;;0.011;0.014;
;0.012;0.012;;0.004;0.016;0.004;;0.011;0.014;
;0.012;0.012;;0.004;0.016;0.004;;0.011;0.01364;
;0.012;0.012;;0.004;0.016;0.004;;0.011;0.013;
;0.012;0.012;;0.004;0.016;0.004;;0.011;0.013;
;0.01146;0.012;;0.004;0.016;0.004;;0.011;0.013;
;0.011;0.012;;0.004;0.016;0.004;;0.011;0.013;
;0.011;0.012;;0.004;0.016;0.004;;0.011;0.013;
;0.011;0.012;;0.004;0.016;0.004;;0.011;0.013;
;0.011;0.011;;0.004;0.016;0.004;;0.011;0.013;
;0.011;0.011;;0.004;0.016;0.004;;0.011;0.013;
;0.011;0.011;;0.004;0.016;0.004;;0.011;0.0129;
;0.011;0.011;;0.004;0.01515;0.004;;0.011;0.01269;
;0.011;0.011;;0.004;0.015;0.004;;0.011;0.012;
;0.011;0.011;;0.004;0.015;0.003;;0.011;0.012;
;0.011;0.011;;0.004;0.015;0.003;;0.011;0.012;
;0.011;0.011;;0.004;0.015;0.003;;0.011;0.012;
;0.011;0.011;;0.004;0.015;0.003;;0.011;0.012;
;0.011;0.011;;0.004;0.015;0.003;;0.011;0.012;
;0.011;0.011;;0.004;0.015;0.003;;0.011;0.012;
;0.011;0.011;;0.004;0.015;0.003;;0.011;0.012;
;0.011;0.011;;0.004;0.015;0.003;;0.011;0.012;
;0.011;0.011;;0.004;0.015;0.003;;0.0102;0.012;
;0.0107;0.011;;0.004;0.015;0.003;;0.01;0.012;
;0.01;0.011;;0.004;0.015;0.003;;0.01;0.012;
;0.01;0.011;;0.004;0.015;0.003;;0.01;0.012;
;0.01;0.011;;0.004;0.015;0.003;;0.01;0.012;
;0.01;0.01079;;0.004;0.015;0.003;;0.01;0.01163;
;0.01;0.01;;0.004;0.015;0.003;;0.01;0.0112;
;0.01;0.01;;0.004;0.01457;0.003;;0.01;0.011;
;0.01;0.01;;0.004;0.01409;0.003;;0.01;0.011;
;0.01;0.01;;0.004;0.014;0.003;;0.01;0.011;
;0.01;0.01;;0.004;0.014;0.003;;0.01;0.011;
;0.01;0.01;;0.004;0.014;0.003;;0.01;0.011;
;0.01;0.01;;0.004;0.014;0.003;;0.01;0.011;
;0.01;0.01;;0.00387;0.014;0.003;;0.01;0.011;
;0.01;0.01;;0.00349;0.014;0.003;;0.01;0.011;
;0.01;0.01;;0.003;0.014;0.003;;0.01;0.011;
;0.01;0.01;;0.003;0.014;0.003;;0.01;0.011;
;0.01;0.01;;0.003;0.014;0.003;;0.01;0.011;
;0.01;0.01;;0.003;0.013;0.003;;0.01;0.01075;
;0.01;0.01;;0.003;0.013;0.003;;0.01;0.0107;
;0.01;0.01;;0.003;0.013;0.003;;0.01;0.0107;
;0.01;0.01;;0.003;0.013;0.003;;0.01;0.0102;
;0.01;0.01;;0.003;0.013;0.003;;0.01;0.01011;
;0.01;0.01;;0.003;0.013;0.003;;0.01;0.01;
;0.00993;0.01;;0.003;0.013;0.0029;;0.01;0.01;
;0.009;0.01;;0.003;0.013;0.00281;;0.01;0.01;
;0.009;0.01;;0.003;0.013;0.00271;;0.01;0.01;
;0.009;0.01;;0.003;0.013;0.0027;;0.01;0.01;
;0.009;0.01;;0.003;0.013;0.0024502;;0.01;0.01;
;0.009;0.01;;0.003;0.013;0.00238;;0.01;0.01;
;0.009;0.01;;0.003;0.013;0.00217;;0.01;0.01;
;0.009;0.01;;0.003;0.013;0.002;;0.01;0.01;
;0.009;0.01;;0.003;0.013;0.002;;0.01;0.0099;
;0.009;0.009;;0.003;0.013;0.002;;0.01;0.0099;
;0.009;0.009;;0.003;0.013;0.002;;0.01;0.0095;
;0.009;0.009;;0.003;0.013;0.002;;0.01;0.0094;
;0.009;0.009;;0.003;0.013;0.002;;0.01;0.0094;
;0.009;0.009;;0.003;0.013;0.002;;0.01;0.009;
;0.009;0.009;;0.003;0.013;0.002;;0.01;0.009;
;0.009;0.009;;0.003;0.013;0.002;;0.01;0.009;
;0.009;0.009;;0.003;0.01233;0.002;;0.01;0.009;
;0.009;0.009;;0.003;0.012;0.002;;0.01;0.009;
;0.009;0.009;;0.003;0.012;0.002;;0.01;0.009;
;0.009;0.009;;0.003;0.012;0.002;;0.00969;0.009;
;0.009;0.009;;0.003;0.012;0.002;;0.0096;0.009;
;0.009;0.009;;0.003;0.012;0.002;;0.009;0.009;
;0.009;0.009;;0.003;0.012;0.002;;0.009;0.009;
;0.009;0.009;;0.003;0.012;0.002;;0.009;0.009;
;0.009;0.009;;0.003;0.012;0.002;;0.009;0.009;
;0.009;0.009;;0.003;0.012;0.002;;0.009;0.009;
;0.009;0.009;;0.003;0.012;0.002;;0.009;0.009;
;0.009;0.009;;0.003;0.012;0.002;;0.009;0.009;
;0.009;0.009;;0.003;0.012;0.002;;0.009;0.009;
;0.009;0.009;;0.003;0.012;0.002;;0.009;0.009;
;0.009;0.009;;0.003;0.012;0.002;;0.009;0.009;
;0.009;0.009;;0.003;0.012;0.002;;0.009;0.009;
;0.009;0.009;;0.003;0.012;0.002;;0.009;0.0089;
;0.009;0.009;;0.003;0.012;0.002;;0.009;0.0088;
;0.009;0.009;;0.003;0.012;0.002;;0.009;0.0087;
;0.009;0.00894;;0.003;0.012;0.002;;0.009;0.0086;
;0.009;0.008;;0.003;0.012;0.002;;0.009;0.0086;
;0.009;0.008;;0.003;0.012;0.002;;0.009;0.0085;
;0.009;0.008;;0.003;0.012;0.002;;0.009;0.0085;
;0.009;0.008;;0.003;0.012;0.002;;0.009;0.0083;
;0.009;0.008;;0.003;0.011;0.002;;0.009;0.0083;
;0.009;0.008;;0.003;0.011;0.002;;0.009;0.008;
;0.009;0.008;;0.003;0.011;0.002;;0.009;0.008;
;0.009;0.008;;0.003;0.011;0.002;;0.009;0.008;
;0.009;0.008;;0.003;0.011;0.002;;0.009;0.008;
;0.009;0.008;;0.003;0.011;0.002;;0.009;0.008;
;0.009;0.008;;0.003;0.011;0.002;;0.009;0.008;
;0.009;0.008;;0.003;0.011;0.002;;0.009;0.008;
;0.009;0.008;;0.003;0.011;0.002;;0.009;0.008;
;0.009;0.008;;0.003;0.011;0.002;;0.009;0.008;
;0.009;0.008;;0.003;0.011;0.002;;0.009;0.008;
;0.009;0.008;;0.003;0.011;0.002;;0.009;0.008;
;0.009;0.008;;0.003;0.011;0.002;;0.009;0.008;
;0.009;0.008;;0.003;0.011;0.002;;0.009;0.008;
;0.008;0.008;;0.003;0.011;0.002;;0.009;0.008;
;0.008;0.008;;0.003;0.011;0.002;;0.009;0.008;
;0.008;0.008;;0.003;0.011;0.002;;0.009;0.008;
;0.008;0.008;;0.003;0.011;0.002;;0.009;0.008;
;0.008;0.008;;0.003;0.011;0.002;;0.009;0.008;
;0.008;0.008;;0.003;0.011;0.002;;0.009;0.008;
;0.008;0.00798;;0.003;0.011;0.002;;0.009;0.008;
;0.008;0.007;;0.003;0.011;0.002;;0.009;0.008;
;0.008;0.007;;0.003;0.011;0.002;;0.009;0.008;
;0.008;0.007;;0.003;0.011;0.002;;0.009;0.008;
;0.008;0.007;;0.003;0.011;0.002;;0.009;0.008;
;0.008;0.007;;0.003;0.011;0.002;;0.009;0.008;
;0.008;0.007;;0.003;0.011;0.002;;0.009;0.008;
;0.008;0.007;;0.003;0.011;0.002;;0.009;0.008;
;0.008;0.007;;0.003;0.011;0.002;;0.00804;0.0078;
;0.008;0.007;;0.003;0.011;0.002;;0.008;0.0077;
;0.008;0.007;;0.003;0.011;0.002;;0.008;0.0075;
;0.008;0.007;;0.003;0.011;0.002;;0.008;0.0075;
;0.008;0.007;;0.003;0.01;0.002;;0.008;0.0072;
;0.008;0.007;;0.003;0.01;0.002;;0.008;0.007;
;0.008;0.007;;0.003;0.01;0.002;;0.008;0.007;
;0.008;0.007;;0.003;0.01;0.002;;0.008;0.007;
;0.008;0.007;;0.003;0.01;0.002;;0.008;0.007;
;0.008;0.007;;0.003;0.01;0.002;;0.008;0.007;
;0.008;0.007;;0.003;0.01;0.002;;0.008;0.007;
;0.008;0.007;;0.003;0.01;0.002;;0.008;0.007;
;0.008;0.007;;0.003;0.01;0.002;;0.008;0.007;
;0.008;0.007;;0.003;0.01;0.002;;0.008;0.007;
;0.008;0.007;;0.003;0.01;0.002;;0.008;0.007;
;0.008;0.007;;0.003;0.01;0.002;;0.008;0.007;
;0.008;0.007;;0.003;0.01;0.002;;0.008;0.007;
;0.008;0.007;;0.003;0.01;0.002;;0.008;0.007;
;0.008;0.007;;0.003;0.01;0.002;;0.008;0.007;
;0.008;0.007;;0.003;0.01;0.002;;0.008;0.007;
;0.008;0.007;;0.00275;0.01;0.002;;0.008;0.007;
;0.008;0.007;;0.002618528;0.01;0.002;;0.008;0.007;
;0.008;0.007;;0.002;0.01;0.002;;0.008;0.007;
;0.008;0.007;;0.002;0.01;0.002;;0.008;0.007;
;0.008;0.007;;0.002;0.01;0.002;;0.008;0.007;
;0.008;0.007;;0.002;0.01;0.002;;0.008;0.007;
;0.008;0.00651185;;0.002;0.01;0.002;;0.008;0.007;
;0.008;0.0065;;0.002;0.01;0.002;;0.008;0.007;
;0.008;0.006;;0.002;0.01;0.002;;0.008;0.007;
;0.008;0.006;;0.002;0.01;0.002;;0.008;0.007;
;0.008;0.006;;0.002;0.01;0.002;;0.008;0.007;
;0.007;0.006;;0.002;0.01;0.002;;0.008;0.007;
;0.007;0.006;;0.002;0.01;0.002;;0.008;0.007;
;0.007;0.006;;0.002;0.01;0.002;;0.008;0.007;
;0.007;0.006;;0.002;0.01;0.002;;0.008;0.007;
;0.007;0.006;;0.002;0.01;0.002;;0.008;0.007;
;0.007;0.006;;0.002;0.01;0.002;;0.008;0.007;
;0.007;0.006;;0.002;0.01;0.002;;0.008;0.007;
;0.007;0.006;;0.002;0.01;0.002;;0.008;0.007;
;0.007;0.006;;0.002;0.01;0.002;;0.008;0.007;
;0.007;0.006;;0.002;0.01;0.002;;0.008;0.007;
;0.007;0.006;;0.002;0.01;0.002;;0.008;0.007;
;0.007;0.006;;0.002;0.01;0.002;;0.008;0.0069;
;0.007;0.006;;0.002;0.00976;0.002;;0.008;0.0069;
;0.007;0.006;;0.002;0.00974;0.002;;0.008;0.0067;
;0.007;0.006;;0.002;0.00919;0.002;;0.008;0.0067;
;0.007;0.006;;0.002;0.009;0.002;;0.008;0.0064;
;0.007;0.006;;0.002;0.009;0.00199;;0.008;0.0063;
;0.007;0.006;;0.002;0.009;0.00189;;0.008;0.0062;
;0.007;0.006;;0.002;0.009;0.00161;;0.008;0.0062;
;0.007;0.006;;0.002;0.009;0.0016;;0.008;0.00615;
;0.007;0.006;;0.002;0.009;0.00122;;0.008;0.0061;
;0.007;0.006;;0.002;0.009;0.001;;0.008;0.006;
;0.007;0.006;;0.002;0.009;0.001;;0.008;0.006;
;0.007;0.006;;0.002;0.009;0.001;;0.008;0.006;
;0.007;0.006;;0.002;0.009;0.001;;0.008;0.006;
;0.007;0.006;;0.002;0.009;0.001;;0.008;0.006;
;0.007;0.006;;0.002;0.009;0.001;;0.008;0.006;
;0.007;0.006;;0.002;0.009;0.001;;0.008;0.006;
;0.007;0.006;;0.002;0.009;0.001;;0.008;0.006;
;0.007;0.006;;0.002;0.009;0.001;;0.008;0.006;
;0.007;0.006;;0.002;0.009;0.001;;0.008;0.006;
;0.007;0.006;;0.002;0.009;0.001;;0.008;0.006;
;0.007;0.006;;0.002;0.009;0.001;;0.008;0.006;
;0.007;0.006;;0.002;0.009;0.001;;0.008;0.006;
;0.007;0.006;;0.002;0.009;0.001;;0.008;0.006;
;0.007;0.006;;0.002;0.009;0.001;;0.008;0.006;
;0.007;0.006;;0.002;0.009;0.001;;0.008;0.006;
;0.007;0.006;;0.002;0.009;0.001;;0.008;0.006;
;0.007;0.006;;0.002;0.009;0.001;;0.008;0.006;
;0.007;0.00597;;0.002;0.009;0.001;;0.008;0.006;
;0.007;0.00575;;0.002;0.009;0.001;;0.008;0.006;
;0.007;0.005;;0.002;0.009;0.001;;0.008;0.006;
;0.007;0.005;;0.002;0.009;0.001;;0.008;0.006;
;0.007;0.005;;0.002;0.009;0.001;;0.008;0.006;
;0.007;0.005;;0.002;0.009;0.001;;0.008;0.006;
;0.007;0.005;;0.002;0.009;0.001;;0.008;0.006;
;0.007;0.005;;0.002;0.009;0.001;;0.008;0.006;
;0.007;0.005;;0.002;0.009;0.001;;0.008;0.006;
;0.007;0.005;;0.002;0.009;0.001;;0.008;0.006;
;0.007;0.005;;0.002;0.009;0.001;;0.008;0.006;
;0.007;0.005;;0.002;0.009;0.001;;0.008;0.006;
;0.007;0.005;;0.002;0.009;0.001;;0.0079;0.006;
;0.007;0.005;;0.002;0.009;0.001;;0.00778;0.006;
;0.007;0.005;;0.002;0.009;0.001;;0.0074;0.006;
;0.007;0.005;;0.002;0.009;0.001;;0.0073;0.006;
;0.007;0.005;;0.002;0.008;0.001;;0.0073;0.006;
;0.00648;0.005;;0.002;0.008;0.001;;0.0073;0.006;
;0.006188132;0.005;;0.002;0.008;0.001;;0.007;0.006;
;0.006;0.005;;0.002;0.008;0.001;;0.007;0.006;
;0.006;0.005;;0.002;0.008;0.001;;0.007;0.006;
;0.006;0.005;;0.002;0.008;0.001;;0.007;0.006;
;0.006;0.005;;0.002;0.008;0.001;;0.007;0.006;
;0.006;0.005;;0.002;0.008;0.001;;0.007;0.006;
;0.006;0.005;;0.002;0.008;0.001;;0.007;0.006;
;0.006;0.005;;0.002;0.008;0.001;;0.007;0.006;
;0.006;0.005;;0.002;0.008;0.001;;0.007;0.006;
;0.006;0.005;;0.002;0.008;0.001;;0.007;0.006;
;0.006;0.005;;0.002;0.008;0.001;;0.007;0.006;
;0.006;0.005;;0.002;0.008;0.001;;0.007;0.006;
;0.006;0.005;;0.002;0.008;0.001;;0.007;0.006;
;0.006;0.005;;0.002;0.008;0.001;;0.007;0.006;
;0.006;0.005;;0.002;0.008;0.001;;0.007;0.006;
;0.006;0.005;;0.002;0.008;0.001;;0.007;0.006;
;0.006;0.005;;0.002;0.008;0.001;;0.007;0.006;
;0.006;0.005;;0.002;0.008;0.001;;0.007;0.006;
;0.006;0.005;;0.002;0.008;0.001;;0.007;0.006;
;0.006;0.005;;0.002;0.008;0.001;;0.007;0.006;
;0.006;0.005;;0.002;0.008;0.001;;0.007;0.006;
;0.006;0.005;;0.002;0.008;0.001;;0.007;0.006;
;0.006;0.005;;0.002;0.008;0.001;;0.007;0.006;
;0.006;0.005;;0.002;0.008;0.001;;0.007;0.006;
;0.006;0.005;;0.002;0.008;0.001;;0.007;0.006;
;0.006;0.005;;0.002;0.008;0.001;;0.007;0.006;
;0.006;0.005;;0.002;0.008;0.001;;0.007;0.006;
;0.006;0.005;;0.002;0.008;0.00055;;0.007;0.006;
;0.006;0.005;;0.002;0.008;0.00055;;0.007;0.00596;
;0.006;0.005;;0.002;0.008;0.00055;;0.007;0.0059;
;0.006;0.005;;0.002;0.008;0.00055;;0.007;0.00588;
;0.006;0.005;;0.002;0.008;0.00055;;0.007;0.0057;
;0.006;0.005;;0.002;0.008;0.00055;;0.007;0.00569;
;0.006;0.005;;0.002;0.008;0.0005;;0.007;0.0056;
;0.006;0.005;;0.002;0.008;0.0005;;0.007;0.0055;
;0.006;0.005;;0.002;0.008;0.0005;;0.007;0.00543;
;0.006;0.005;;0.002;0.008;0.0005;;0.007;0.0054;
;0.006;0.005;;0.002;0.008;0.0005;;0.007;0.0053;
;0.006;0.005;;0.002;0.008;0.0005;;0.007;0.0053;
;0.006;0.005;;0.002;0.008;0.0005;;0.007;0.0052;
;0.006;0.005;;0.002;0.008;0.0005;;0.007;0.0052;
;0.006;0.005;;0.002;0.008;0.0005;;0.007;0.00514;
;0.006;0.005;;0.002;0.008;0.0005;;0.007;0.0051;
;0.006;0.005;;0.002;0.008;0.0005;;0.007;0.0051;
;0.006;0.005;;0.002;0.008;0.0005;;0.007;0.005;
;0.006;0.005;;0.002;0.008;0.0005;;0.007;0.005;
;0.006;0.005;;0.002;0.008;0.0005;;0.007;0.005;
;0.006;0.005;;0.002;0.008;0.0005;;0.007;0.005;
;0.006;0.005;;0.002;0.008;0.0005;;0.007;0.005;
;0.006;0.005;;0.002;0.008;0.0005;;0.007;0.005;
;0.006;0.005;;0.002;0.008;0.0005;;0.007;0.005;
;0.006;0.005;;0.002;0.008;0.0005;;0.007;0.005;
;0.006;0.005;;0.002;0.008;0.0005;;0.007;0.005;
;0.006;0.00484;;0.002;0.008;0.0005;;0.007;0.005;
;0.006;0.004;;0.002;0.008;0.0005;;0.007;0.005;
;0.006;0.004;;0.002;0.008;0.0005;;0.007;0.005;
;0.006;0.004;;0.002;0.008;0.0005;;0.007;0.005;
;0.006;0.004;;0.002;0.008;0.0005;;0.007;0.005;
;0.006;0.004;;0.002;0.008;0.0005;;0.007;0.005;
;0.006;0.004;;0.002;0.008;0.0005;;0.007;0.005;
;0.006;0.004;;0.002;0.008;0.0005;;0.007;0.005;
;0.006;0.004;;0.002;0.008;0.0005;;0.007;0.005;
